       x [mm]         y [mm]         z [mm]     KxRe [A/m]     KyRe [A/m]     KzRe [A/m]     KxIm [A/m]     KyIm [A/m]     KzIm [A/m]    Area [mm^2]  
    -0.133333       0.288683           -0.2    -0.00166369  -4.68832e-005              0     0.00300622    0.000101327             -0        0.34642
     0.133333      -0.288683           -0.2    -0.00159052   3.81398e-005              0     0.00277087   -0.000101598              0        0.34642
    -0.933333       0.288683           -0.2    -0.00168117    -0.00042294             -0     0.00308373    0.000124715              0        0.34642
    -0.666667      -0.288683           -0.2    -0.00159926   -0.000384039              0     0.00280962  -7.47501e-005             -0        0.34642
     -1.56667       0.288683           -0.2    -0.00198647   -0.000416018              0     0.00226406    0.000223254             -0        0.34642
     -1.56667      -0.288683           -0.2    -0.00178142    -0.00059322              0     0.00202141   -0.000168519             -0        0.34642
     -1.83333       0.288683      -0.266667              0              0              0              0              0              0       0.100002
     -1.83333      -0.288683      -0.333333              0              0              0              0              0              0       0.100002
     -1.56667       0.288683           -0.4              0              0              0              0              0              0        0.34642
     -1.56667      -0.288683           -0.4              0              0              0              0              0              0        0.34642
         -1.3       0.577367           -0.4              0              0              0              0              0              0       0.129907
    -0.933333       0.577367           -0.4              0              0              0              0              0              0        0.34642
     -1.23333        1.15473           -0.4              0              0              0              0              0              0       0.129907
    -0.866667        1.15473           -0.4              0              0              0              0              0              0        0.34642
    -0.666667         1.7321      -0.266667              0              0              0              0              0              0            0.1
      1.16667       -1.44342      -0.333333              0              0              0              0              0              0       0.100002
      1.56667       0.288683           -0.4              0              0              0              0              0              0        0.34642
      1.56667       0.288683           -0.2    -0.00198647    0.000416018             -0     0.00226406   -0.000223254             -0        0.34642
     0.666667         1.7321      -0.133333   2.73023e-005              0  -4.74739e-005     0.00209802             -0    3.2349e-005            0.1
    -0.333333         1.7321      -0.133333    0.000130803              0   1.87874e-005     0.00232763              0  -1.23875e-005            0.1
     0.333333         1.7321     -0.0666667    0.000182579              0  -2.86864e-005     0.00228788              0   1.99616e-005            0.1
 1.85037e-016        1.15473              0     0.00315877   7.27596e-012              0     0.00208358  -1.45519e-011              0        0.34642
     0.466667        1.44342              0     0.00297497   8.39729e-005             -0     0.00171146   -0.000137029              0       0.433025
     0.933333       0.577367              0     0.00321414    0.000242021             -0     0.00210173   -0.000164733              0        0.34642
     0.866667        1.15473              0     0.00303135    0.000168585             -0     0.00167215   -0.000250727              0        0.34642
          1.3       0.577367              0     0.00307721    0.000284759             -0      0.0018235   -0.000223141              0       0.129907
      1.23333        1.15473              0     0.00289441    0.000211323             -0     0.00139392   -0.000309136              0       0.129907
      1.66667       0.577367     -0.0666667   -0.000622374     0.00107801    -0.00215381      0.0010039    -0.00173885    0.000385192       0.100002
      1.33333        1.15473      -0.133333   -0.000347586    0.000602053    -0.00203519     0.00132239    -0.00229052    0.000786815       0.100002
          1.3       0.577367           -0.2     -0.0020004    0.000354042              0     0.00249298   -0.000448726              0       0.129907
      1.23333        1.15473           -0.2    -0.00207274    0.000208268             -0     0.00242088   -0.000589195             -0       0.129908
     0.933333       0.288683           -0.2    -0.00168117     0.00042294             -0     0.00308373   -0.000124715             -0        0.34642
     0.666667       0.577367           -0.2    -0.00170136    0.000281795             -0      0.0031503   -0.000214348             -0        0.34642
    -0.133333      -0.288683           -0.2    -0.00159052  -3.81397e-005              0     0.00277087    0.000101598             -0        0.34642
     0.133333       0.288683           -0.2    -0.00166369   4.68834e-005              0     0.00300622   -0.000101327              0        0.34642
    -0.933333      -0.288683           -0.2      -0.001608   -0.000494018              0     0.00284838  -6.81072e-005              0        0.34642
    -0.666667       0.288683           -0.2    -0.00167243   -0.000312962             -0     0.00304498    0.000118072              0        0.34642
    -0.933333       0.577367           -0.2    -0.00182449   -0.000332576             -0     0.00287964    0.000346452              0        0.34642
         -1.3       0.577367           -0.2     -0.0020004   -0.000354042              0     0.00249298    0.000448726             -0       0.129907
     -1.23333        1.15473           -0.2    -0.00207274   -0.000208268              0     0.00242088    0.000589194             -0       0.129907
     -1.66667       0.577367      -0.133333   -0.000665587    -0.00115286     0.00209434     0.00103195     0.00178744   -0.000564636       0.100002
     -1.33333        1.15473     -0.0666667   -0.000317471   -0.000549892     0.00206776     0.00130435     0.00225926   -0.000774864       0.100002
         -1.3       0.577367              0     0.00307721   -0.000284759              0      0.0018235    0.000223141             -0       0.129908
     -1.23333        1.15473              0     0.00289441   -0.000211323              0     0.00139392    0.000309136             -0       0.129907
    -0.933333       0.288683              0     0.00323928   -0.000255616              0     0.00224135    0.000118729             -0        0.34642
    -0.666667       0.577367              0     0.00324028   -0.000169277              0     0.00218388    0.000162785             -0        0.34642
    -0.133333      -0.577367              0     0.00345471  -4.91297e-005              0     0.00286631   1.54175e-006              0        0.34642
     0.133333      -0.288683              0     0.00342056   6.12945e-005              0     0.00276209   4.26321e-005              0        0.34642
     0.866667       -1.15473              0     0.00326534    0.000300758             -0     0.00258093    0.000227089             -0        0.34642
     0.666667      -0.577367              0     0.00338582    0.000254874             -0     0.00266132    0.000143856              0        0.34642
      1.23333       -1.15473              0     0.00316693    0.000370734             -0     0.00228809    0.000281501             -0       0.129907
          1.3      -0.577367              0     0.00326127    0.000397593             -0     0.00228632    0.000196319              0       0.129907
      1.33333       -1.15473     -0.0666667     0.00133891     0.00231913    -0.00199442     0.00126646     0.00219363   -0.000144708       0.100002
      1.66667      -0.577367      -0.133333     0.00137725     0.00238553    -0.00216746    0.000927195     0.00160599   2.50048e-005       0.100002
          1.3      -0.577367           -0.2    -0.00162985    0.000708741             -0     0.00200986    0.000388989             -0       0.129908
      1.23333       -1.15473           -0.2    -0.00149262    0.000707774             -0     0.00149618    0.000544677             -0       0.129907
     0.866667       -1.15473           -0.2     -0.0014486    0.000580184             -0     0.00189013    0.000448001             -0        0.34642
      1.16667       -1.44342      -0.133333     0.00114915     0.00199044    -0.00195852     0.00108931      0.0018868   -0.000197619       0.100002
     0.466667       -1.44342              0     0.00327961    0.000156309             -0     0.00281184    0.000124324              0       0.433025
     0.666667        -1.7321     -0.0666667     0.00204312              0  -3.61831e-005     0.00220272              0   1.48668e-005            0.1
    -0.333333        -1.7321     -0.0666667     0.00206754              0   1.41643e-005      0.0023836              0  -1.08399e-005            0.1
     0.333333        -1.7321      -0.133333     0.00200818              0  -2.20189e-005     0.00234078              0   4.02692e-006            0.1
    -0.666667        -1.7321      -0.133333     0.00192074              0   3.61833e-005     0.00214872              0  -1.48668e-005            0.1
    -0.466667       -1.44342           -0.2    -0.00109589   -0.000305023              0     0.00227501   -0.000235489             -0       0.433025
     -1.16667       -1.44342     -0.0666667     0.00121575     -0.0021058      0.0019133     0.00106596    -0.00184635    0.000248994       0.100002
     -1.33333       -1.15473      -0.133333     0.00130934     -0.0022679     0.00186525     0.00124577     -0.0021578   -0.000118044       0.100002
         -1.3      -0.577367              0     0.00326127   -0.000397593              0     0.00228632   -0.000196319              0       0.129907
     -1.23333       -1.15473              0     0.00316693   -0.000370734              0     0.00228809   -0.000281501              0       0.129908
    -0.466667       -1.44342              0     0.00327961   -0.000156309              0     0.00281184   -0.000124324              0       0.433025
    -0.866667       -1.15473              0     0.00326534   -0.000300758              0     0.00258093   -0.000227089              0        0.34642
    -0.666667      -0.288683              0     0.00339442   -0.000232298              0     0.00267994   -3.7601e-005              0        0.34642
    -0.933333      -0.577367              0     0.00335968   -0.000327618              0     0.00257917   -0.000141908              0        0.34642
     -1.56667       0.288683              0     0.00307063   -0.000318218              0      0.0017946    0.000111473             -0        0.34642
     -1.56667      -0.288683              0     0.00316843   -0.000371215              0     0.00202382  -9.15242e-005              0        0.34642
     -1.83333       0.288683     -0.0666667   -0.000833375    -0.00144349     0.00219471    0.000492647    0.000853314   -0.000103922       0.100002
     -1.56667      -0.288683           -0.2    -0.00178142    -0.00059322              0     0.00202141   -0.000168519             -0        0.34642
     -1.83333      -0.288683      -0.133333     0.00121218    -0.00209962     0.00222313    0.000459523    -0.00079594   -0.000118293       0.100002
         -1.3      -0.577367           -0.2    -0.00162985   -0.000708741              0     0.00200986   -0.000388989             -0       0.129907
